Year,California,Colorado,Florida,Massachusetts,Minnesota,New York,Ohio,Texas,Washington
2003,1.8351562499999998,1.5587187500000002,1.57575,1.6327812499999996,1.5422812499999996,1.7273437499999997,1.5415937499999999,1.4629374999999996,1.6843437499999996
2004,2.1664038461538455,1.856,1.913057692307692,1.9064038461538466,1.801230769230769,2.03925,1.836884615384616,1.7702884615384613,1.9912115384615392
2005,2.517211538461538,2.3002499999999997,2.357326923076923,2.308230769230769,2.1718846153846147,2.454846153846155,2.2516923076923074,2.218211538461539,2.409961538461539
2006,2.854673076923077,2.5887115384615385,2.635384615384616,2.621903846153846,2.5194038461538453,2.8000576923076914,2.5354807692307686,2.510673076923077,2.751230769230769
2007,3.123641509433962,2.8300566037735857,2.840924528301888,2.7733018867924524,2.7733584905660384,2.9984905660377357,2.8126792452830185,2.705150943396226,3.0093584905660387
2008,3.5607115384615398,3.210653846153846,3.327865384615384,3.2304423076923072,3.1280769230769225,3.4995769230769227,3.2128076923076914,3.1692500000000003,3.4528076923076934
2009,2.725134615384616,2.2952307692307694,2.4170384615384615,2.3615,2.324173076923077,2.5721538461538462,2.3552307692307695,2.267557692307693,2.6256923076923084
2010,3.1381730769230765,2.7131153846153846,2.8250961538461534,2.802076923076923,2.785403846153846,2.9995,2.765230769230769,2.691057692307692,3.057903846153846
2011,3.8633846153846148,3.4462307692307688,3.550134615384615,3.591711538461538,3.5498076923076924,3.8039230769230774,3.504634615384617,3.429249999999999,3.767942307692308
2012,4.080924528301888,3.5311320754716973,3.6293962264150945,3.717094339622642,3.5620000000000016,3.9381509433962267,3.6113773584905666,3.4858490566037745,3.883037735849056
2013,3.933365384615384,3.4698461538461536,3.5720961538461538,3.6171153846153845,3.4957307692307684,3.8373846153846154,3.5064423076923084,3.388346153846155,3.691288461538461
2014,3.7935961538461536,3.390403846153847,3.4207884615384625,3.479730769230769,3.2964230769230767,3.6972115384615383,3.3791346153846153,3.224942307692309,3.604846153846154
2015,3.22075,2.408615384615384,2.4377692307692307,2.461596153846154,2.3982500000000004,2.6672307692307697,2.408,2.2594999999999996,2.754461538461539
2016,2.7820576923076934,2.139519230769231,2.2164423076923074,2.2209230769230768,2.090288461538461,2.36101923076923,2.184923076923076,2.015942307692308,2.5307692307692307
2017,3.079865384615385,2.4292307692307693,2.484673076923077,2.511365384615384,2.386730769230769,2.6191538461538455,2.384211538461539,2.2935192307692316,2.910923076923076
2018,3.551226415094339,2.7479811320754712,2.7037358490566037,2.8232452830188683,2.6494150943396217,2.894698113207547,2.61533962264151,2.5270188679245287,3.2686792452830185
2019,3.677192307692306,2.6600192307692305,2.5134038461538473,2.6645000000000008,2.5037499999999997,2.730057692307692,2.544230769230769,2.3569807692307703,3.186115384615386
2020,3.1324038461538466,2.3351153846153845,2.1481153846153846,2.233634615384616,2.0506923076923074,2.3238653846153845,2.0810192307692317,1.8994423076923075,2.7330961538461542
2021,4.020622222222223,3.2280444444444445,2.9006666666666665,2.943133333333333,2.827355555555556,3.037466666666667,2.8983333333333334,2.6866,3.470266666666667
